Date,Open,High,Low,Close,Adj Close,Volume
2015-05-01,108.559998,110.050003,107.470001,108.339996,101.332024,350700
2015-05-04,108.800003,109.919998,107.849998,107.930000,100.948578,409700
2015-05-05,107.930000,109.470001,105.629997,105.709999,98.872154,493600
2015-05-06,106.099998,106.820000,105.250000,106.129997,99.264977,343100
2015-05-07,105.879997,108.599998,105.629997,107.930000,100.948578,348700
2015-05-08,109.160004,109.980003,108.360001,109.129997,102.070923,363700
2015-05-11,109.099998,110.510002,108.570000,109.839996,102.735008,349600
2015-05-12,109.129997,109.940002,107.510002,109.059998,102.005440,528100
2015-05-13,109.010002,109.739998,108.500000,108.680000,101.650017,227800
2015-05-14,109.320000,110.180000,108.480003,109.910004,102.800468,290000
2015-05-15,110.230003,110.400002,109.230003,110.339996,103.202652,246700
2015-05-18,110.250000,111.290001,109.800003,111.089996,103.904144,287800
2015-05-19,111.360001,111.419998,110.269997,110.550003,103.399094,255800
2015-05-20,110.279999,111.139999,109.250000,110.410004,103.268120,178800
2015-05-21,110.029999,110.379997,109.610001,110.070000,102.950119,168400
2015-05-22,110.070000,110.239998,108.940002,109.029999,101.977402,190300
2015-05-26,108.800003,109.180000,107.440002,108.559998,101.537811,324200
2015-05-27,108.529999,109.419998,108.529999,108.650002,101.621994,421000
2015-05-28,108.849998,109.989998,108.599998,109.209999,102.145744,366900
2015-05-29,109.110001,109.690002,108.250000,108.660004,101.631325,404900
2015-06-01,109.580002,109.730003,108.440002,109.050003,101.996117,546000
2015-06-02,108.480003,109.430000,108.050003,108.870003,101.827759,606400
2015-06-03,109.489998,109.830002,108.750000,108.989998,101.939964,484800
2015-06-04,108.750000,109.349998,108.209999,109.029999,101.977402,580900
2015-06-05,108.839996,110.180000,108.199997,110.000000,102.884666,526300
2015-06-08,109.699997,110.599998,109.010002,109.870003,102.763046,443800
2015-06-09,109.959999,110.550003,108.790001,110.430000,103.286842,355700
2015-06-10,110.519997,112.580002,109.989998,112.389999,105.120041,310800
2015-06-11,112.440002,112.900002,111.410004,111.930000,104.979370,255300
2015-06-12,111.669998,113.089996,111.389999,112.290001,105.317017,226300
2015-06-15,111.160004,111.349998,110.320000,110.809998,103.928909,220200
2015-06-16,110.540001,111.410004,110.349998,110.760002,103.882019,203100
2015-06-17,110.970001,111.500000,109.900002,110.919998,104.032089,211400
2015-06-18,111.349998,113.199997,111.290001,112.570000,105.579613,269200
2015-06-19,112.709999,112.769997,111.830002,111.910004,104.960617,356800
2015-06-22,112.790001,113.879997,112.150002,113.860001,106.789520,346300
2015-06-23,113.980003,113.980003,112.830002,113.620003,106.564415,211100
2015-06-24,113.309998,113.820000,111.559998,111.639999,104.707367,379300
2015-06-25,112.279999,112.870003,111.169998,111.720001,104.782394,589200
2015-06-26,112.459999,115.239998,112.040001,114.900002,107.764931,878000
2015-06-29,112.150002,114.410004,111.849998,114.000000,106.920830,733600
2015-06-30,114.110001,114.970001,113.080002,113.400002,106.358086,558200
2015-07-01,114.769997,115.430000,114.410004,114.550003,107.436676,381800
2015-07-02,114.680000,115.019997,113.209999,113.879997,106.808266,295800
2015-07-06,113.010002,113.339996,112.480003,113.129997,106.104836,412000
